Network,d,a,cc,Cd,Gd,Gr,Bd
variant_117,0.21052631578947345,0.10824426762088613,0.37373764290687256,0.08443432462921496,0.4612971545543967,0.45027139336737165,0.3984717487729303
variant_118,0.047368421052631504,0.08964640519798484,0.02252892888235647,0.23927441847589703,0.8369177990567711,0.8169140862775663,0.5937888852028743
variant_119,0.16315789473684195,0.08390225528508877,0.08359336873435061,0.017608195710818286,0.7066253124827779,0.719260535221953,0.35287807423768397
variant_11,0.3157894736842102,0.21757144874994122,0.5157479178466208,0.20424944426720915,0.5902642606396997,0.6039333220040477,0.41577603094700827
variant_120,0.4368421052631577,0.24017138283346678,0.5719892247645325,0.06774347593030239,0.3442425305245622,0.3625465379320114,0.20554051525465483
variant_121,0.7421052631578946,0.35114647582277886,0.7028213106109931,0.03388089134248906,0.3278668914222109,0.3438672872936308,0.22008334926772238
variant_122,0.47894736842105257,0.1314092000564998,0.7265732559755417,0.03991631580580979,0.5872601067533445,0.5993481934380547,0.23116621427888434
variant_123,0.20000000000000018,0.3913084420170441,0.2662278195477364,0.0475926505970552,0.6474225482971843,0.6319480838784399,0.41199815440398674
variant_124,0.3526315789473684,0.17933989359197705,0.5854760834520868,0.022491857401099047,0.5922683120798933,0.5781121246784267,0.33110902876030707
variant_125,0.18421052631578938,0.04764819435943313,0.3275942459764792,0.02036001349341765,0.7197001249479384,0.7024981074943226,0.5229994792570736
