Network,S,Sp,N,Np,Overall
variant_262,0.7354964881326111,0.49835107891169983,0.45016807625596744,0.3909214183665055,0.5312524658496007
variant_263,0.61337488512644,0.20890554336285128,0.3581789436522431,0.18154803080478166,0.27065920833230545
variant_264,0.6041715068941613,0.5468099208438577,0.6866106924127768,0.5090446125456229,0.630565352435164
variant_265,0.8111355646599847,0.36998604757008735,0.49953184239205495,0.3029837674549629,0.49788013757224187
variant_266,0.7002181248682859,0.2471505413463735,0.3220310365469925,0.18600961144549588,0.30479989530763146
variant_267,0.6821580182774483,0.17329668673614407,0.2518687930743373,0.1296860377421769,0.22496942536972175
variant_268,0.8299098918936849,0.1600665018272842,0.38210870466162206,0.12923056315240578,0.3215797899922698
variant_269,0.5706125274878886,0.12445496576878767,0.3779336597645395,0.1650888354016793,0.2253643572641994
variant_26,0.6805090505467817,0.40405669332592,0.36388893152619417,0.30901880576943475,0.41521174910669806
variant_270,0.6740411624989875,0.237986399440004,0.6455509677815465,0.3535207435291423,0.47136574004740955
variant_272,0.618794058148481,0.7794464046269045,0.7831893045173364,0.6853132787871457,0.820676952930447
variant_273,0.30332740826474947,0.3457755767602624,0.41056654745276244,0.37653256200781904,0.2977791859096334
variant_274,0.5994868198489556,0.31040850938243203,0.5085573070960412,0.2741542962614796,0.39150143632695816
variant_275,0.7916857063054152,0.36926932851931404,0.562188214707823,0.32045742898982965,0.5197982500479104
variant_276,0.7038074293183314,0.227770737974474,0.5065925800856492,0.25290226597055643,0.39094075126272526
variant_277,0.5962225616943329,0.05309261225770889,0.3566746995349126,0.1645091404692436,0.20065820007239832
variant_278,0.5492544260532526,0.5043296636318733,0.34855485118727847,0.4001758338950423,0.4316023405589536
variant_279,0.8449449573555725,0.34374951585843405,0.5856267939646038,0.34039479398754935,0.5457926647787992
variant_27,0.8288116098391143,0.5426618957760763,0.7927213004036897,0.5520352028029074,0.7656607501422223
variant_280,0.691201615342294,0.2822303580284995,0.44528695758952574,0.2455008038867712,0.3811252200469332
variant_281,0.6505453314566765,0.17771018385365878,0.2566271163026297,0.1317874318722585,0.21753484989694816
variant_282,0.732696864530574,0.47102722324700075,0.6644461158267965,0.4480110175162588,0.6194331167737459
variant_283,0.7217409659206879,0.35380303250842715,0.4454097530276746,0.26162874504276656,0.4243897093979831
variant_284,0.8700955789467173,0.45818414926417894,0.5505840458026987,0.40620052051429045,0.6080591177185191
variant_285,0.5816209969093933,0.5024875934779729,0.4144653026140075,0.34452512038115746,0.4465099790139763
variant_286,0.8071215156850542,0.38304347736142397,0.5874073278177714,0.3160269034347798,0.538073943527192
variant_287,0.6529727069613784,0.38402434067378266,0.6444304594084329,0.38038339263043186,0.5264545320414722
variant_288,0.6643437622166957,0.25063537843599804,0.32315154492010656,0.21422833262087737,0.3036849373804092
variant_289,0.7658159670495266,0.5266181458544512,0.4360772997283151,0.3709840533687858,0.5402291643311687
variant_28,0.7339590023271398,0.20028463676535502,0.3630293634591477,0.19539859901192003,0.3184201742874417
variant_290,0.955224899488897,0.42185911558389755,0.63337886997498,0.4058589145719629,0.6560369517265303
variant_291,0.8395724518009899,0.6749417558844542,0.5789344425854575,0.5156800491829743,0.7265125975143136
variant_292,0.49726696533004144,0.21859616943446802,0.21392500268615056,0.15029626292933163,0.16760944359160046
variant_293,0.25871878359370726,0.7059440319830923,0.5605151268630371,0.5773554493161082,0.5413396006257913
variant_294,0.9152073603650877,0.2814010885156044,0.4300756726887598,0.25110107100191525,0.459188627342158
variant_295,0.7560787860638456,0.7029143506752344,0.682988226987367,0.5437849017109131,0.7545255055530622
variant_296,0.3729871777707743,0.18577755957761433,0.3848869514497535,0.2961205935227271,0.22597927690123815
variant_297,0.667754693140445,0.17819062639488692,0.2608328600592493,0.1661550600095536,0.23810041925397385
variant_298,0.666807066309552,0.23370735377638674,0.3847948548711422,0.2323023924786236,0.32753637941205643
variant_299,0.5223288623558133,0.24542546037337587,0.3639349798154998,0.23321334165816632,0.27171748994692385
variant_29,0.8470914684906887,0.353490645320516,0.6002394511043914,0.2919178052625635,0.5377596457790113
variant_2,0.5962223435490301,0.20299584249217695,0.24140048197209474,0.1411764194386822,0.20478719169648768
variant_300,0.9868344941784244,0.6051301320566207,0.7369414726242915,0.49027698910799833,0.8032926229894333
variant_301,0.7576999617839135,0.20628817955058665,0.3758921856053048,0.1969824083808973,0.33457311638810244
variant_302,0.8787906853233096,0.46203261907808013,0.6103086770326476,0.4400505638904817,0.646847938353031
variant_303,0.48010223786834416,0.1954831335785645,0.39882423367971853,0.14415770766264036,0.21822834100145716
variant_304,0.9392134662469545,0.4783593628273479,0.7580315891264631,0.5161148203823016,0.7567014630896542
variant_305,0.8328122525638193,0.28339067835193,0.711461419208276,0.38649089281145654,0.5821401220421565
variant_30,0.6041295032357539,0.27510901718393477,0.37569264301831184,0.2290726635693363,0.31525189032084905
variant_31,0.5421856052572878,0.325166457765679,0.595926261339391,0.3861389351739053,0.4488194527844352
variant_32,0.8087995994935326,0.2430384244064161,0.5682819383259909,0.27466152932736154,0.4654011910407833
variant_33,0.7883394785262254,0.1690303109307898,0.3745567852154297,0.21989070990735415,0.3400393705387926
variant_34,0.8575822098488999,0.42836169958490267,0.8624998081321271,0.529706596208888,0.7517416886244774
variant_35,0.6877109136564741,0.14207563236669785,0.5109978664292614,0.2845681016548891,0.3669182985935628
variant_36,0.715976198318252,0.25343959961966966,0.6142688299129682,0.31433957711358174,0.4665864822412203
variant_37,0.7781604919899792,0.5206100330576042,0.5317963437658286,0.42022706754020556,0.5955324621590559
variant_38,0.47254478520505216,0.19587619932980616,0.29739520176825485,0.1648403947163497,0.18609481466768324
variant_39,0.5311059262396327,0.19736446691802634,0.35257640178667327,0.1608860471415161,0.22676901443050185
variant_3,0.7495726252446104,0.583386132906627,0.8529217639564681,0.5952431786598562,0.7893809844873945
variant_40,0.6355313949347874,0.3443463629578414,0.3093831064175969,0.22231300658931996,0.32532941684802424
variant_41,0.5768892895109801,0.2756585197121346,0.31019662619533683,0.22186788369477028,0.27892185902692185
variant_42,0.6294396700967297,0.3250787413171068,0.5667776942086604,0.3962318380154306,0.4737155765810516
variant_43,0.6785119448493759,0.0699498542831023,0.21518365592718247,0.09224395612392478,0.15876558224684556
variant_44,0.628808613475698,0.2216030105583311,0.27125512287218534,0.141838927932894,0.2346544133506947
variant_45,0.7527696693956472,0.45996247194630335,0.7157746089732759,0.4938586756548369,0.6582460452304748
variant_46,0.49392716442950046,0.2522084080628364,0.3860688575419422,0.27557247850690514,0.2873890840108249
variant_47,0.6118251176718417,0.08241805855106321,0.37231576846920156,0.13138371575859775,0.21068952525389223
variant_48,0.7861272507546033,0.20143398482025532,0.6937328278254458,0.38018671042121177,0.526333862954075
variant_49,0.8021752076564184,0.27418700030385246,0.6169549801224887,0.3115756744892866,0.5056495949506015
variant_4,0.7396223480186706,0.32472678279308553,0.46889438057376154,0.28847069075361187,0.43869330656228994
variant_50,0.9352434770438762,0.3856391060048683,0.6832798661529722,0.45605428470381204,0.6720816256633273
variant_51,0.5569178964713615,0.24592616388227917,0.36764954181952136,0.21704399372128247,0.27999111936170257
variant_52,0.7916123908114301,0.6716926499201037,0.8259835147124281,0.6361841332631699,0.8421440762263599
variant_53,0.6699947075950519,0.3160374372910262,0.6736404242582386,0.4003518127138177,0.5258015160088787
variant_54,0.627278171944269,0.43189823011708484,0.5006523507651686,0.3541211418520227,0.47240771202179715
variant_55,0.5302723013176305,0.21610087105300835,0.3879875362630276,0.21416622244954509,0.26573176558573564
